nolord | seed 1 | squad 14 | letter - | hold 6160 | end dead/down/left/standing 13/1/0/0 | got up 1 | last raider standing +6130, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 5 | squad 14 | letter +2492 fled | hold 3250 | end dead/down/left/standing 6/0/8/0 | got up 1 | last raider standing +8380, standing again after clear 900 ticks | citizen downings after clear 0 | citizen downings held/all 5/5 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 6 | squad 14 | letter - | hold 4840 | end dead/down/left/standing 13/1/0/0 | got up 3 | last raider standing +25270, standing again after clear 1050 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 6 | squad 14 | letter - | hold 4810 | end dead/down/left/standing 12/0/2/0 | got up 2 | last raider standing +9220, standing again after clear 900 ticks | citizen downings after clear 0 | citizen downings held/all 6/6 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; ColdSnap
lord+autoFlee | seed 6 | squad 14 | letter +2384 fled | hold 3280 | end dead/down/left/standing 5/1/8/0 | got up 2 | last raider standing +26500, standing again after clear 420 ticks | citizen downings after clear 0 | citizen downings held/all 3/3 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 4 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.; ColdSnap; Drought
nolord | seed 7 | squad 14 | letter - | hold 6130 | end dead/down/left/standing 12/2/0/0 | got up 4 | last raider standing +25630, standing again after clear 3240 ticks | citizen downings after clear 1 | citizen downings held/all 9/10 | citizen deaths at clear 0, all 1 | killed by raid at clear 0, all 1 | moments 3 new: RaidEnemy; Wanderer: Esme joins Stonespan.; WandererJoin
lord | seed 7 | squad 14 | letter - | hold 6130 | end dead/down/left/standing 12/0/2/0 | got up 5 | last raider standing +50230, standing again after clear 1500 ticks | citizen downings after clear 1 | citizen downings held/all 9/10 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 7 | squad 14 | letter +3158 fled | hold 3880 | end dead/down/left/standing 6/0/8/0 | got up 2 | last raider standing +57100, standing again after clear 930 ticks | citizen downings after clear 0 | citizen downings held/all 4/4 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 8 | squad 14 | letter - | hold 5530 | end dead/down/left/standing 14/0/0/0 | got up 0 | last raider standing +5500, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
lord | seed 8 | squad 14 | letter - | hold 5530 | end dead/down/left/standing 14/0/0/0 | got up 0 | last raider standing +5500, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 7/7 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 1 new: RaidEnemy
lord+autoFlee | seed 8 | squad 14 | letter +3080 fled | hold 3850 | end dead/down/left/standing 7/0/7/0 | got up 0 | last raider standing +3820, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 5/5 | citizen deaths at clear 1, all 1 | killed by raid at clear 1, all 1 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 9 | squad 14 | letter - | hold 5470 | end dead/down/left/standing 14/0/0/0 | got up 1 | last raider standing +14650, standing again after clear 510 ticks | citizen downings after clear 0 | citizen downings held/all 6/6 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 9 | squad 14 | letter - | hold 5470 | end dead/down/left/standing 14/0/0/0 | got up 1 | last raider standing +14380, standing again after clear 240 ticks | citizen downings after clear 0 | citizen downings held/all 6/6 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 9 | squad 14 | letter +2966 fled | hold 3700 | end dead/down/left/standing 7/0/7/0 | got up 0 | last raider standing +3670, standing again after clear 0 ticks | citizen downings after clear 0 | citizen downings held/all 4/4 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
nolord | seed 10 | squad 14 | letter - | hold 4420 | end dead/down/left/standing 12/2/0/0 | got up 3 | last raider standing +30040, standing again after clear 690 ticks | citizen downings after clear 0 | citizen downings held/all 8/8 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord | seed 10 | squad 14 | letter - | hold 4420 | end dead/down/left/standing 13/1/0/0 | got up 3 | last raider standing +23470, standing again after clear 540 ticks | citizen downings after clear 0 | citizen downings held/all 8/8 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 1 new: RaidEnemy
lord+autoFlee | seed 10 | squad 14 | letter +2081 fled | hold 2830 | end dead/down/left/standing 6/1/7/0 | got up 2 | last raider standing +16570, standing again after clear 330 ticks | citizen downings after clear 0 | citizen downings held/all 3/3 | citizen deaths at clear 0, all 0 | killed by raid at clear 0, all 0 | moments 2 new: RaidEnemy; Raiders fleeing: Raiders from Grey march are fleeing.
done raid1
